epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
46,2,2.36e-05,0.4587,7.895528,5.804880,0.675053,0.436593,0.010503,2.295273,0.154510,0.244438,71.3,21.3,92.6
47,2,2.33e-05,0.4659,7.828835,5.739537,0.674042,0.447812,0.010486,2.357446,0.162872,0.244438,72.4,17.4,89.8
48,2,2.30e-05,0.4732,7.763365,5.684315,0.670876,0.442813,0.010449,2.464446,0.167075,0.244438,75.0,17.2,92.2
49,2,2.26e-05,0.4804,7.661242,5.622245,0.657378,0.445761,0.010420,2.519399,0.169008,0.244438,63.2,12.8,76.0
50,2,2.23e-05,0.4877,7.553739,5.562154,0.641081,0.455605,0.010386,2.585464,0.171676,0.244438,55.1,11.6,66.7
51,2,2.19e-05,0.4949,7.506905,5.525623,0.637070,0.467151,0.010368,2.661981,0.176411,0.244438,58.1,12.7,70.8
52,2,2.14e-05,0.5022,7.427284,5.477191,0.626831,0.464003,0.010308,2.714663,0.173340,0.244438,59.0,13.6,72.5
53,2,2.10e-05,0.5094,7.361138,5.445252,0.615640,0.459779,0.010268,2.773679,0.181927,0.244438,58.3,12.9,71.2
54,2,2.05e-05,0.5167,7.298841,5.413443,0.605118,0.466973,0.010233,2.822406,0.187211,0.244438,64.7,16.7,81.4
55,2,2.00e-05,0.5239,7.252177,5.388766,0.597723,0.468281,0.010188,2.869728,0.195424,0.244438,63.0,16.7,79.8
56,2,1.95e-05,0.5312,7.182948,5.365527,0.583052,0.455104,0.010118,2.931354,0.188494,0.244438,67.7,15.8,83.5
57,2,1.90e-05,0.5384,7.146282,5.349881,0.575840,0.459203,0.010056,2.965498,0.184684,0.244438,68.8,16.9,85.7
58,2,1.85e-05,0.5457,7.106082,5.340296,0.566030,0.451316,0.010005,3.016681,0.187482,0.244438,66.8,15.7,82.5
59,2,1.79e-05,0.5529,7.060904,5.321888,0.556687,0.459694,0.009953,3.059755,0.190251,0.244438,67.4,16.3,83.6
60,2,1.73e-05,0.5601,7.054120,5.330848,0.551424,0.459996,0.009923,3.116332,0.199645,0.244438,67.1,16.5,83.6
61,2,1.68e-05,0.5674,7.003585,5.316457,0.539024,0.467049,0.009855,3.138712,0.191008,0.244438,68.3,15.9,84.1
62,2,1.62e-05,0.5746,6.988435,5.322671,0.532201,0.461065,0.009807,3.184014,0.188970,0.244438,67.3,16.7,84.0
63,2,1.56e-05,0.5819,6.944012,5.323716,0.517608,0.449812,0.009771,3.231099,0.193092,0.244438,68.1,15.6,83.7
64,2,1.50e-05,0.5891,6.916521,5.317593,0.510351,0.452494,0.009724,3.257422,0.188180,0.244438,67.7,15.1,82.8
65,2,1.44e-05,0.5964,6.898516,5.321225,0.503094,0.453387,0.009663,3.288102,0.196684,0.244438,67.0,15.9,82.9
66,2,1.37e-05,0.6036,6.904623,5.332551,0.501458,0.451325,0.009632,3.335431,0.195754,0.244438,67.0,16.0,83.0
67,2,1.31e-05,0.6109,6.860762,5.339678,0.484397,0.452635,0.009586,3.362531,0.197037,0.244438,67.2,16.4,83.6
68,2,1.25e-05,0.6181,6.852797,5.341915,0.481431,0.443931,0.009561,3.409648,0.207835,0.244438,67.9,16.3,84.2
69,2,1.19e-05,0.6254,6.855042,5.368331,0.473627,0.438874,0.009521,3.462672,0.197677,0.244438,66.9,15.5,82.4
70,2,1.13e-05,0.6326,6.841625,5.358129,0.472889,0.432195,0.009480,3.454276,0.201608,0.244438,66.6,15.7,82.4
71,2,1.06e-05,0.6399,6.838666,5.381009,0.463805,0.441603,0.009458,3.502221,0.193112,0.244438,67.2,16.3,83.5
72,2,1.00e-05,0.6471,6.836747,5.399314,0.457301,0.436874,0.009418,3.546522,0.200587,0.244438,68.2,16.9,85.2
73,2,9.42e-06,0.6543,6.838974,5.419325,0.451404,0.436239,0.009390,3.584110,0.198417,0.244438,67.1,16.4,83.5
74,2,8.82e-06,0.6616,6.858534,5.443136,0.449340,0.449192,0.009350,3.615830,0.192025,0.244438,66.8,16.1,82.9
75,2,8.23e-06,0.6688,6.840883,5.463074,0.437354,0.438310,0.009330,3.649358,0.191530,0.244438,67.0,16.9,83.9
76,2,7.65e-06,0.6761,6.861027,5.483386,0.437208,0.440111,0.009310,3.688719,0.197323,0.244438,68.2,16.8,85.0
77,2,7.08e-06,0.6833,6.846997,5.498601,0.427937,0.430572,0.009285,3.729048,0.195388,0.244438,67.7,16.3,84.0
