epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
34,2,1.56e-05,0.3717,9.822859,6.273773,1.183029,0.000000,0.020674,1.253433,bertscore_f1_free,0.665133,0.008751,0.665133,0.679883,131.2
35,2,1.95e-05,0.3790,9.704016,6.137694,1.188774,0.000000,0.019911,1.232949,bertscore_f1_free,0.672146,0.014441,0.672146,0.679883,133.6
36,2,2.34e-05,0.3862,9.565033,6.007370,1.185888,0.000000,0.019116,1.212487,bertscore_f1_free,0.670676,0.014150,0.670676,0.679883,157.1
37,2,2.50e-05,0.3935,9.425859,5.893781,1.177360,0.000000,0.018420,1.211679,bertscore_f1_free,0.674399,0.012552,0.674399,0.679883,165.1
38,2,2.50e-05,0.4007,9.265240,5.786880,1.159454,0.000000,0.017757,1.219296,bertscore_f1_free,0.676587,0.015052,0.676587,0.679883,133.4
39,2,2.49e-05,0.4080,9.149887,5.691763,1.152708,0.000000,0.017200,1.226249,bertscore_f1_free,0.674942,0.015746,0.674942,0.679883,159.4
40,2,2.48e-05,0.4152,9.025579,5.611394,1.138062,0.000000,0.016753,1.227938,bertscore_f1_free,0.686049,0.013052,0.686049,0.686049,154.2
41,2,2.47e-05,0.4225,8.903494,5.540696,1.120932,0.000000,0.016349,1.265097,bertscore_f1_free,0.687187,0.012066,0.687187,0.687187,151.9
42,2,2.45e-05,0.4297,8.825771,5.469159,1.118870,0.000000,0.015976,1.240974,bertscore_f1_free,0.685197,0.012024,0.685197,0.687187,146.9
43,2,2.43e-05,0.4370,8.713407,5.404524,1.102961,0.000000,0.015628,1.226147,bertscore_f1_free,0.686349,0.013506,0.686349,0.687187,173.6
44,2,2.41e-05,0.4442,8.635246,5.360574,1.091557,0.000000,0.015370,1.255660,bertscore_f1_free,0.686258,0.011320,0.686258,0.687187,165.2
45,2,2.39e-05,0.4514,8.551730,5.304598,1.082377,0.000000,0.015058,1.226812,bertscore_f1_free,0.688111,0.012367,0.688111,0.688111,158.9
46,2,2.36e-05,0.4587,8.459472,5.258673,1.066933,0.000000,0.014760,1.218063,bertscore_f1_free,0.687336,0.012486,0.687336,0.688111,164.0
47,2,2.33e-05,0.4659,8.420756,5.234830,1.061975,0.000000,0.014538,1.252929,bertscore_f1_free,0.687762,0.013315,0.687762,0.688111,162.3
48,2,2.30e-05,0.4732,8.333797,5.189677,1.048040,0.000000,0.014337,1.214505,bertscore_f1_free,0.690227,0.011984,0.690227,0.690227,163.9
49,2,2.27e-05,0.4804,8.306950,5.161527,1.048474,0.000000,0.014133,1.232295,bertscore_f1_free,0.692155,0.011534,0.692155,0.692155,161.8
50,2,2.23e-05,0.4877,8.251352,5.134512,1.038947,0.000000,0.013951,1.234011,bertscore_f1_free,0.691639,0.012005,0.691639,0.692155,131.2
51,2,2.19e-05,0.4949,8.203423,5.113892,1.029844,0.000000,0.013754,1.204858,bertscore_f1_free,0.695200,0.012248,0.695200,0.695200,136.0
52,2,2.15e-05,0.5022,8.148096,5.088866,1.019743,0.000000,0.013585,1.220849,bertscore_f1_free,0.694782,0.011886,0.694782,0.695200,132.0
53,2,2.10e-05,0.5094,8.110523,5.073785,1.012246,0.000000,0.013425,1.210976,bertscore_f1_free,0.693228,0.009076,0.693228,0.695200,135.3
