epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
46,2,2.36e-05,0.4587,7.702055,5.499484,0.710848,0.466850,0.012219,2.476449,0.181375,0.228814,79.4,12.5,91.9
47,2,2.33e-05,0.4659,7.643072,5.455857,0.705390,0.473626,0.012085,2.536408,0.198958,0.228814,78.5,14.1,92.7
48,2,2.30e-05,0.4732,7.565077,5.407555,0.695944,0.464602,0.011965,2.577375,0.183533,0.228814,79.4,13.3,92.7
49,2,2.26e-05,0.4804,7.487783,5.365115,0.684221,0.466689,0.011825,2.629007,0.202313,0.228814,78.3,13.3,91.6
50,2,2.22e-05,0.4877,7.402025,5.333564,0.666290,0.463939,0.011720,2.673413,0.193688,0.228814,79.2,12.7,91.9
51,2,2.18e-05,0.4949,7.356001,5.298169,0.662794,0.463007,0.011580,2.709013,0.198852,0.228814,79.0,14.7,93.8
52,2,2.14e-05,0.5022,7.322878,5.272288,0.660389,0.462820,0.011506,2.771863,0.189203,0.228814,78.6,13.3,91.9
53,2,2.10e-05,0.5094,7.251577,5.258460,0.641720,0.453053,0.011415,2.815588,0.205356,0.228814,78.4,13.9,92.3
54,2,2.05e-05,0.5167,7.191426,5.240911,0.627527,0.452886,0.011329,2.853512,0.201322,0.228814,78.7,13.2,91.8
55,2,2.00e-05,0.5239,7.167991,5.225954,0.624445,0.458008,0.011251,2.898015,0.201921,0.228814,80.1,14.4,94.4
56,2,1.95e-05,0.5312,7.119924,5.200281,0.617854,0.440534,0.011149,2.928794,0.201521,0.228814,78.3,13.3,91.6
57,2,1.90e-05,0.5384,7.108343,5.194599,0.615757,0.443144,0.011070,2.966258,0.204472,0.228814,78.8,13.7,92.5
58,2,1.85e-05,0.5457,7.064793,5.182797,0.605389,0.438853,0.011022,2.997661,0.200492,0.228814,78.6,13.7,92.3
59,2,1.79e-05,0.5529,7.033024,5.181011,0.595608,0.434602,0.010940,3.037647,0.194436,0.228814,80.5,13.1,93.6
60,2,1.73e-05,0.5601,7.017544,5.181404,0.590021,0.440516,0.010861,3.080405,0.201351,0.228814,78.4,13.6,91.9
61,2,1.68e-05,0.5674,6.957168,5.177208,0.571269,0.441019,0.010784,3.096784,0.198746,0.228814,78.6,13.3,91.9
62,2,1.62e-05,0.5746,6.942088,5.178982,0.566186,0.430317,0.010729,3.137496,0.198046,0.228814,78.1,14.5,92.7
63,2,1.56e-05,0.5819,6.924103,5.178968,0.560365,0.426934,0.010649,3.163525,0.196486,0.228814,80.4,13.3,93.7
64,2,1.50e-05,0.5891,6.934074,5.187163,0.560649,0.433091,0.010613,3.208172,0.198511,0.228814,78.4,14.0,92.4
65,2,1.43e-05,0.5964,6.922574,5.188466,0.556802,0.424684,0.010543,3.228405,0.193213,0.228814,79.8,13.3,93.1
66,2,1.37e-05,0.6036,6.880609,5.202797,0.538063,0.424144,0.010502,3.264936,0.200003,0.228814,79.6,14.7,94.3
67,2,1.31e-05,0.6109,6.869746,5.200691,0.535054,0.425965,0.010446,3.286389,0.199862,0.228814,79.1,13.6,92.7
68,2,1.25e-05,0.6181,6.874094,5.217075,0.531468,0.417439,0.010407,3.324950,0.202321,0.228814,78.1,13.3,91.4
69,2,1.19e-05,0.6254,6.847555,5.231468,0.517751,0.418891,0.010366,3.356978,0.197535,0.228814,79.4,13.3,92.7
70,2,1.12e-05,0.6326,6.868156,5.239723,0.521997,0.416267,0.010318,3.387825,0.200792,0.228814,79.0,14.3,93.3
71,2,1.06e-05,0.6399,6.882932,5.259926,0.520022,0.419597,0.010263,3.418777,0.195452,0.228814,79.1,13.8,92.9
72,2,1.00e-05,0.6471,6.862820,5.277382,0.507907,0.411455,0.010225,3.450321,0.195551,0.228814,77.9,13.7,91.6
73,2,9.41e-06,0.6543,6.864942,5.290980,0.503879,0.415499,0.010201,3.486815,0.200790,0.228814,83.4,14.3,97.8
74,2,8.81e-06,0.6616,6.893512,5.321810,0.502524,0.427535,0.010161,3.510357,0.199604,0.228814,84.1,17.7,101.9
75,2,8.22e-06,0.6688,6.880582,5.327276,0.497090,0.413574,0.010125,3.530177,0.197926,0.228814,83.9,13.8,97.7
76,2,7.64e-06,0.6761,6.910591,5.350652,0.499191,0.415780,0.010101,3.568307,0.201551,0.228814,84.1,14.3,98.4
77,2,7.08e-06,0.6833,6.916039,5.385430,0.490092,0.402218,0.010060,3.622510,0.200282,0.228814,82.4,15.0,97.4
78,2,6.53e-06,0.6906,6.926990,5.408154,0.485506,0.415454,0.010035,3.647652,0.201106,0.228814,82.9,13.4,96.3
79,2,5.99e-06,0.6978,6.941070,5.428597,0.483291,0.417328,0.010013,3.675554,0.198076,0.228814,78.7,13.7,92.4
80,2,5.47e-06,0.7051,6.955108,5.448596,0.481973,0.403952,0.009993,3.710852,0.197842,0.228814,79.6,13.8,93.5
81,2,4.96e-06,0.7123,6.983128,5.483830,0.479074,0.413827,0.009954,3.747568,0.201989,0.228814,78.7,14.4,93.1
82,2,4.48e-06,0.7196,6.970511,5.505785,0.467777,0.409299,0.009925,3.775469,0.200619,0.228814,78.8,13.5,92.3
83,2,4.01e-06,0.7268,7.029868,5.546072,0.473923,0.413517,0.009918,3.828834,0.198166,0.228814,78.8,14.1,92.9
84,2,3.56e-06,0.7341,7.037474,5.575185,0.466685,0.414882,0.009898,3.863933,0.200845,0.228814,78.1,13.8,91.9
85,2,3.14e-06,0.7413,7.068832,5.605731,0.467169,0.410625,0.009874,3.900780,0.199832,0.228814,78.1,13.9,92.1
86,2,2.74e-06,0.7486,7.082168,5.637473,0.460929,0.412719,0.009866,3.942874,0.199987,0.228814,78.9,14.5,93.5
87,2,2.36e-06,0.7558,7.128898,5.675733,0.463911,0.409540,0.009854,3.988608,0.199299,0.228814,78.9,13.3,92.2
