epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_primary_key,val_primary,val_bleu4,val_bertscore_f1,best_metric,epoch_time_s
34,2,1.56e-05,0.3717,11.265404,7.590684,1.224907,0.000000,0.006444,0.422804,bertscore_f1_free,0.631460,0.002408,0.631460,0.631460,138.9
35,2,1.95e-05,0.3790,11.193343,7.529584,1.221253,0.000000,0.006372,0.372166,bertscore_f1_free,0.634541,0.002212,0.634541,0.634541,138.6
36,2,2.34e-05,0.3862,11.137755,7.450035,1.229240,0.000000,0.006297,0.341568,bertscore_f1_free,0.640509,0.001997,0.640509,0.640509,146.9
37,2,2.50e-05,0.3935,11.028624,7.384863,1.214587,0.000000,0.006226,0.324956,bertscore_f1_free,0.636144,0.001024,0.636144,0.640509,146.2
38,2,2.50e-05,0.4007,10.900967,7.291501,1.203155,0.000000,0.006160,0.359026,bertscore_f1_free,0.658888,0.001632,0.658888,0.658888,151.8
39,2,2.49e-05,0.4080,10.758325,7.151752,1.202191,0.000000,0.006092,0.392222,bertscore_f1_free,0.668029,0.001225,0.668029,0.668029,151.6
40,2,2.48e-05,0.4152,10.568573,6.977566,1.197003,0.000000,0.006030,0.478801,bertscore_f1_free,0.675264,0.006448,0.675264,0.675264,146.0
41,2,2.47e-05,0.4225,10.370290,6.800649,1.189880,0.000000,0.005981,0.522405,bertscore_f1_free,0.678213,0.008054,0.678213,0.678213,149.9
42,2,2.45e-05,0.4297,10.221864,6.662918,1.186316,0.000000,0.005944,0.558270,bertscore_f1_free,0.678326,0.007256,0.678326,0.678326,157.0
43,2,2.43e-05,0.4370,10.102400,6.559382,1.181006,0.000000,0.005915,0.592150,bertscore_f1_free,0.677649,0.011531,0.677649,0.678326,155.3
44,2,2.41e-05,0.4442,9.994816,6.473514,1.173768,0.000000,0.005891,0.600389,bertscore_f1_free,0.678224,0.013476,0.678224,0.678326,152.1
45,2,2.39e-05,0.4514,9.905268,6.395156,1.170037,0.000000,0.005871,0.612073,bertscore_f1_free,0.684130,0.013297,0.684130,0.684130,152.1
46,2,2.36e-05,0.4587,9.809022,6.327774,1.160416,0.000000,0.005855,0.618176,bertscore_f1_free,0.685057,0.014660,0.685057,0.685057,149.7
47,2,2.33e-05,0.4659,9.736329,6.269424,1.155635,0.000000,0.005841,0.618909,bertscore_f1_free,0.681707,0.014910,0.681707,0.685057,144.0
48,2,2.30e-05,0.4732,9.667665,6.215122,1.150848,0.000000,0.005828,0.626093,bertscore_f1_free,0.688820,0.016394,0.688820,0.688820,146.0
49,2,2.27e-05,0.4804,9.617958,6.172997,1.148320,0.000000,0.005817,0.619958,bertscore_f1_free,0.686951,0.014057,0.686951,0.688820,147.1
50,2,2.23e-05,0.4877,9.527428,6.126576,1.133617,0.000000,0.005807,0.630191,bertscore_f1_free,0.687982,0.014292,0.687982,0.688820,146.9
51,2,2.19e-05,0.4949,9.477038,6.089730,1.129103,0.000000,0.005797,0.649938,bertscore_f1_free,0.687468,0.014454,0.687468,0.688820,146.5
52,2,2.15e-05,0.5022,9.415315,6.053086,1.120743,0.000000,0.005788,0.615209,bertscore_f1_free,0.690212,0.013679,0.690212,0.690212,147.8
53,2,2.10e-05,0.5094,9.360322,6.012053,1.116090,0.000000,0.005780,0.635366,bertscore_f1_free,0.689488,0.013526,0.689488,0.690212,6185.5
54,2,2.06e-05,0.5167,9.315297,5.985836,1.109820,0.000000,0.005773,0.634423,bertscore_f1_free,0.688648,0.013367,0.688648,0.690212,136.2
55,2,2.01e-05,0.5239,9.257725,5.963624,1.098034,0.000000,0.005767,0.651288,bertscore_f1_free,0.689367,0.011224,0.689367,0.690212,145.3
56,2,1.96e-05,0.5312,9.224190,5.939882,1.094769,0.000000,0.005760,0.633491,bertscore_f1_free,0.691103,0.013170,0.691103,0.691103,149.4
57,2,1.91e-05,0.5384,9.199656,5.915086,1.094857,0.000000,0.005756,0.603859,bertscore_f1_free,0.692850,0.014050,0.692850,0.692850,147.3
58,2,1.85e-05,0.5457,9.173914,5.902233,1.090560,0.000000,0.005751,0.619162,bertscore_f1_free,0.691846,0.013102,0.691846,0.692850,152.9
59,2,1.80e-05,0.5529,9.092564,5.880560,1.070668,0.000000,0.005746,0.628355,bertscore_f1_free,0.692925,0.012898,0.692925,0.692925,152.6
60,2,1.74e-05,0.5601,9.076241,5.864848,1.070464,0.000000,0.005742,0.637776,bertscore_f1_free,0.693141,0.013526,0.693141,0.693141,149.3
61,2,1.68e-05,0.5674,9.053980,5.844674,1.069769,0.000000,0.005738,0.604787,bertscore_f1_free,0.692348,0.012977,0.692348,0.693141,149.1
62,2,1.62e-05,0.5746,9.050346,5.836910,1.071145,0.000000,0.005734,0.655238,bertscore_f1_free,0.691846,0.012324,0.691846,0.693141,148.0
63,2,1.57e-05,0.5819,8.991221,5.832110,1.053037,0.000000,0.005731,0.644688,bertscore_f1_free,0.690846,0.013042,0.690846,0.693141,146.7
64,2,1.50e-05,0.5891,8.957010,5.823884,1.044375,0.000000,0.005728,0.620909,bertscore_f1_free,0.694646,0.012286,0.694646,0.694646,145.6
65,2,1.44e-05,0.5964,8.974337,5.817039,1.052433,0.000000,0.005726,0.649842,bertscore_f1_free,0.694327,0.013672,0.694327,0.694646,141.4
66,2,1.38e-05,0.6036,8.931625,5.812870,1.039585,0.000000,0.005724,0.671058,bertscore_f1_free,0.693878,0.011979,0.693878,0.694646,149.9
67,2,1.32e-05,0.6109,8.912434,5.821258,1.030392,0.000000,0.005721,0.661422,bertscore_f1_free,0.694153,0.012134,0.694153,0.694646,148.2
68,2,1.26e-05,0.6181,8.907889,5.811688,1.032067,0.000000,0.005719,0.672611,bertscore_f1_free,0.693843,0.011840,0.693843,0.694646,142.4
