epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s,validation_time_s,epoch_wall_time_s
46,2,2.36e-05,0.4587,8.377101,5.915296,0.796760,0.476823,0.009438,2.171061,0.180799,0.230580,44.4,12.5,57.0
47,2,2.33e-05,0.4659,8.321710,5.859767,0.796434,0.484270,0.009375,2.234976,0.186302,0.230580,44.7,12.7,57.4
48,2,2.30e-05,0.4732,8.223789,5.799835,0.783960,0.480492,0.009321,2.311241,0.185775,0.230580,44.5,14.1,58.6
49,2,2.26e-05,0.4804,8.153493,5.739642,0.780669,0.478962,0.009272,2.357980,0.168089,0.230580,44.4,12.4,56.8
50,2,2.23e-05,0.4877,8.054793,5.697165,0.762042,0.476676,0.009227,2.420379,0.179021,0.230580,44.4,12.9,57.3
51,2,2.19e-05,0.4949,8.022308,5.648824,0.767078,0.481676,0.009178,2.473695,0.186576,0.230580,44.2,12.1,56.2
52,2,2.14e-05,0.5022,7.946404,5.622202,0.750332,0.488030,0.009137,2.534825,0.186963,0.230580,44.6,12.3,56.9
53,2,2.10e-05,0.5094,7.903427,5.596806,0.744788,0.481720,0.009096,2.596935,0.191160,0.230580,44.2,11.8,56.0
54,2,2.05e-05,0.5167,7.851864,5.573240,0.735066,0.489517,0.009060,2.652118,0.181691,0.230580,44.3,13.0,57.3
55,2,2.00e-05,0.5239,7.806742,5.546718,0.728998,0.486869,0.009014,2.709409,0.189864,0.230580,44.4,12.6,57.0
56,2,1.95e-05,0.5312,7.732415,5.515189,0.715130,0.478914,0.008975,2.752686,0.197620,0.230580,44.3,12.4,56.7
57,2,1.90e-05,0.5384,7.684985,5.496940,0.705084,0.485286,0.008933,2.791047,0.198568,0.230580,44.1,12.3,56.4
58,2,1.85e-05,0.5457,7.662736,5.487538,0.701142,0.478475,0.008894,2.857305,0.188257,0.230580,44.4,12.3,56.7
59,2,1.79e-05,0.5529,7.610512,5.476133,0.687619,0.476818,0.008855,2.886161,0.193102,0.230580,44.6,12.3,56.8
60,2,1.73e-05,0.5601,7.601036,5.465053,0.687878,0.482330,0.008821,2.930249,0.200292,0.230580,44.4,12.4,56.8
61,2,1.68e-05,0.5674,7.569820,5.464419,0.677388,0.488255,0.008780,2.969367,0.203207,0.230580,44.6,12.9,57.5
62,2,1.62e-05,0.5746,7.520784,5.456796,0.663859,0.482736,0.008745,3.010510,0.196487,0.230580,44.6,12.5,57.1
63,2,1.56e-05,0.5819,7.480260,5.451319,0.652589,0.474497,0.008710,3.057771,0.203594,0.230580,44.5,12.4,56.8
64,2,1.50e-05,0.5891,7.462397,5.451630,0.646304,0.479029,0.008677,3.089010,0.204156,0.230580,44.5,11.5,56.0
